PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,PARKDIST,HOSPDIST,WARD,TABSYSTEM,TABMODEL,MAILBALLOT,7AM,EDR,SIGNATURES,REGMILOVAB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSSWP,USPRSCP,USPRSCG,USPRSGP,USPRSGR,USPRSSL,USPRSJP,USPRSWI,USPRSTOTAL,USSENIP,USSENR,USSENDFL,USSENGR,USSENMOP,USSENWI,USSENTOTAL,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENIP,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,MNCA2YES,MNCA2NO,MNCA2EST,MNCA2TOTAL,VTDID
RED CLOVER UNORG,0125,Red Clover Unorganized,Carlton,9,8,11,11A,05,06,3017,,,,Precinct Tabulator,Model 100,YES,141,11,124,13,0,0,137,59,70,1,0,1,0,2,0,0,2,2,137,4,41,82,4,0,0,131,0,56,79,1,136,0,44,87,1,132,11,41,77,0,129,74,60,3,137,50,80,7,137,270170125
SAWYER UNORG,0130,Sawyer Unorganized,Carlton,9,8,11,11A,01,06,3017,,,,Precinct Tabulator,Model 100,YES,213,21,158,29,0,0,187,50,127,3,0,1,2,1,0,0,0,0,184,4,38,137,2,1,0,182,0,54,125,1,180,0,43,135,0,178,9,44,127,0,180,106,77,4,187,92,93,2,187,270170130
SCANLON,0135,Scanlon,Carlton,9,8,11,11A,02,06,3017,,,,Precinct Tabulator,Model 100,,591,82,515,39,0,0,554,160,380,7,0,2,0,1,0,0,1,3,554,13,95,423,2,4,0,537,0,171,371,1,543,0,120,404,1,525,37,164,331,2,534,282,271,1,554,220,322,12,554,270170135
SILVER BROOK TWP,0140,Silver Brook Twp,Carlton,9,8,11,11A,04,06,3017,,,,Precinct Tabulator,Model 100,,406,38,340,22,0,0,362,149,197,6,0,1,0,3,0,0,1,3,360,13,97,234,4,0,1,349,0,158,199,1,358,0,120,226,0,346,27,117,189,0,333,230,128,4,362,153,200,9,362,270170140
SILVER TWP,0145,Silver Twp,Carlton,9,8,11,11A,05,06,3017,,1340,,Precinct Tabulator,Model 100,,283,32,244,21,0,0,265,110,147,3,0,1,0,3,0,0,0,1,265,9,81,162,2,2,0,256,0,106,151,2,259,0,90,165,1,256,20,83,150,1,254,162,99,4,265,128,135,2,265,270170145
SKELTON TWP,0150,Skelton Twp,Carlton,9,8,11,11A,05,06,3017,,,,Precinct Tabulator,Model 100,,257,21,224,5,0,0,229,85,134,2,1,0,2,0,1,0,0,2,227,7,46,159,5,1,0,218,0,83,134,1,218,0,57,163,0,220,24,53,144,0,221,125,100,4,229,76,151,2,229,270170150
SPLIT ROCK TWP,0155,Split Rock Twp,Carlton,9,8,11,11A,05,06,3017,,,,Precinct Tabulator,Model 100,YES,81,6,72,6,0,0,78,34,41,0,0,1,0,0,0,0,0,1,77,3,14,57,1,0,0,75,0,27,50,0,77,0,25,53,0,78,5,21,49,1,76,59,17,2,78,28,50,0,78,270170155
THOMSON,0160,Thomson,Carlton,9,8,11,11A,02,06,3017,,,,Precinct Tabulator,Model 100,YES,105,8,88,11,0,0,99,21,77,0,0,0,0,0,0,0,0,0,98,0,14,81,0,0,0,95,0,22,77,0,99,0,18,76,0,94,0,17,75,0,92,39,59,1,99,38,59,2,99,270170160
THOMSON TWP,0165,Thomson Twp,Carlton,9,8,11,11A,02,06,3017,,,,Precinct Tabulator,Model 100,,3257,439,2811,296,0,0,3107,1289,1724,36,0,14,0,7,2,0,2,8,3082,58,849,2075,19,5,1,3007,0,1313,1738,3,3054,0,1089,1834,5,2928,161,1056,1704,4,2925,1704,1381,22,3107,1376,1686,45,3107,270170165
TWIN LAKES TWP,0170,Twin Lakes Twp,Carlton,9,8,11,11A,04,06,3017,,,,Precinct Tabulator,Model 100,,1383,124,1148,113,0,0,1261,467,763,9,1,0,0,6,1,0,0,9,1256,20,305,884,9,3,0,1221,0,487,750,6,1243,0,376,831,1,1208,65,377,763,1,1206,630,623,8,1261,510,734,17,1261,270170170
WRENSHALL,0175,Wrenshall,Carlton,9,8,11,11A,04,06,3017,,,,Precinct Tabulator,Model 100,YES,228,28,200,29,0,0,229,52,171,1,0,1,0,1,1,0,0,1,228,7,33,189,0,0,0,229,0,51,173,0,224,0,39,184,1,224,9,45,167,0,221,110,118,1,229,92,133,4,229,270170175
WRENSHALL TWP,0180,Wrenshall Twp,Carlton,9,8,11,11A,04,06,3017,,,,Precinct Tabulator,Model 100,YES,240,23,217,27,0,0,244,101,140,0,0,2,0,1,0,0,0,0,244,4,75,155,1,1,0,236,0,106,136,0,242,0,83,155,0,238,13,84,141,0,238,142,101,1,244,123,120,1,244,270170180
WRIGHT,0185,Wright,Carlton,9,8,11,11A,05,06,3017,,,,Precinct Tabulator,Model 100,YES,52,9,42,9,0,0,51,8,43,0,0,0,0,0,0,0,0,0,51,1,5,44,1,0,0,51,0,7,43,0,50,0,8,42,1,51,3,7,40,0,50,24,25,2,51,20,29,2,51,270170185
BENTON TWP,0005,Benton Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,514,68,474,28,0,0,502,353,136,4,0,1,0,0,0,0,0,5,499,6,218,257,2,0,0,483,0,319,173,1,493,0,336,143,4,483,0,313,153,0,466,364,137,1,502,282,217,3,502,270190005
CAMDEN TWP,0010,Camden Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,574,73,510,30,0,0,540,401,127,3,0,1,1,1,1,0,1,2,538,21,245,247,5,1,0,519,0,360,163,0,523,0,358,140,2,500,0,337,151,0,488,409,126,5,540,361,170,9,540,270190010
CARVER,0015,Carver,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,2092,350,1939,118,0,0,2057,1174,838,28,1,4,0,3,1,0,0,5,2054,54,818,1092,15,6,4,1989,0,1036,944,10,1990,0,1142,779,7,1928,0,1070,776,8,1854,932,1104,21,2057,1185,847,25,2057,270190015
CHANHASSEN P-1A,0020,Chanhassen,Carver,10,3,33,33B,02,01,4019,,,,Precinct Tabulator,Model 100,,1975,169,1640,219,1,0,1860,1031,794,17,0,0,0,9,1,1,0,4,1857,35,724,1038,7,5,2,1811,0,1147,631,1,1779,0,996,720,3,1719,0,999,736,2,1737,716,1123,21,1860,960,884,16,1860,270190020
CHANHASSEN P-1B,0025,Chanhassen,Carver,10,3,33,33B,02,01,4019,,,,Precinct Tabulator,Model 100,,2203,266,1866,216,2,0,2084,1062,965,30,0,1,0,11,0,1,1,6,2077,48,786,1160,19,6,3,2022,0,1220,790,1,2011,0,1037,903,0,1940,0,1031,921,0,1952,933,1125,26,2084,1087,971,26,2084,270190025
CHANHASSEN P-2A,0030,Chanhassen,Carver,10,3,33,33B,02,01,4019,,,,Precinct Tabulator,Model 100,,1618,130,1331,187,3,0,1521,927,581,8,0,0,0,3,0,0,1,0,1520,26,691,760,7,2,0,1486,0,979,494,1,1474,0,866,560,4,1430,0,857,567,2,1426,633,866,22,1521,827,676,18,1521,270190030
CHANHASSEN P-2B,0035,Chanhassen,Carver,10,3,33,33B,02,01,4019,,,,Precinct Tabulator,Model 100,,2289,282,1911,259,2,0,2172,1211,915,25,0,0,0,4,2,0,0,7,2164,33,897,1157,11,2,0,2100,0,1351,706,0,2057,0,1163,833,0,1996,0,1137,855,3,1995,912,1237,23,2172,1107,1034,31,2172,270190035
CHANHASSEN P-3,0036,Chanhassen,Carver,10,3,47,47B,02,01,4019,,,,Precinct Tabulator,Model 100,,2614,292,2256,267,4,0,2527,1553,936,20,0,0,0,7,1,0,0,3,2520,28,1100,1311,15,4,2,2460,0,1706,710,1,2417,0,1597,761,3,2361,0,1870,0,43,1913,1076,1423,28,2527,1431,1069,27,2527,270190036
CHANHASSEN P-4,0037,Chanhassen,Carver,10,3,47,47B,01,01,4019,,,,Precinct Tabulator,Model 100,,2668,322,2186,312,4,0,2502,1396,1046,29,0,2,2,7,1,1,2,7,2493,44,999,1354,17,8,1,2423,0,1541,827,2,2370,0,1433,895,3,2331,0,1793,0,45,1838,1136,1328,38,2502,1330,1133,39,2502,270190037
CHANHASSEN P-5,0038,Chanhassen,Carver,10,3,47,47B,01,01,4019,,,,Precinct Tabulator,Model 100,,1917,355,1776,214,2,0,1992,1218,741,14,1,0,0,8,0,0,0,6,1988,36,861,1022,8,6,0,1933,0,1325,565,0,1890,0,1232,613,1,1846,0,1472,0,24,1496,875,1087,30,1992,1156,808,28,1992,270190038
CHASKA W-1,0040,Chaska,Carver,10,3,47,47B,03,01,4019,,,W-01,Precinct Tabulator,Model 100,,3319,561,2924,314,1,0,3239,1724,1430,45,0,3,0,7,2,0,3,12,3226,78,1165,1827,35,16,6,3127,0,1931,1142,2,3075,0,1749,1278,8,3035,0,2335,0,74,2409,1528,1661,50,3239,1718,1470,51,3239,270190040
CHASKA W-2,0045,Chaska,Carver,10,3,47,47B,03,01,4019,,,W-02,Precinct Tabulator,Model 100,,3494,612,3071,344,3,0,3418,1929,1432,29,0,0,0,13,1,0,1,4,3409,61,1362,1858,19,6,5,3311,0,2103,1152,1,3256,0,1960,1207,7,3174,0,2446,0,76,2522,1464,1915,39,3418,1895,1482,41,3418,270190045
CHASKA W-3,0050,Chaska,Carver,10,3,47,47B,01,01,4019,,,W-03,Precinct Tabulator,Model 100,,3098,565,2593,295,0,0,2888,1477,1324,40,2,3,1,13,3,0,1,16,2880,90,1006,1676,21,18,1,2812,0,1691,1056,2,2749,0,1544,1164,6,2714,0,2103,0,57,2160,1372,1481,35,2888,1513,1331,44,2888,270190050
CHASKA W-4,0055,Chaska,Carver,10,3,47,47B,01,01,4019,,,W-04,Precinct Tabulator,Model 100,,3428,649,2888,344,3,0,3235,1596,1541,50,0,0,0,18,4,0,3,12,3224,81,1084,1906,43,13,4,3131,0,1774,1288,6,3068,0,1656,1354,13,3023,0,2239,0,107,2346,1413,1792,30,3235,1639,1558,38,3235,270190055
COLOGNE,0065,Cologne,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,842,154,780,26,0,0,806,440,349,7,0,1,0,6,0,0,0,1,804,21,254,480,13,4,0,772,0,391,391,1,783,0,454,295,0,749,0,411,321,0,732,415,384,7,806,452,344,10,806,270190065
DAHLGREN TWP P-1,0070,Dahlgren Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,832,114,751,39,0,0,790,483,274,19,0,2,1,1,0,0,0,4,784,23,305,412,11,3,0,754,0,426,343,3,772,0,471,276,2,749,0,438,277,1,716,463,322,5,790,446,331,13,790,270190070
DAHLGREN TWP P-2,0072,Dahlgren Twp,Carver,10,3,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,39,6,26,1,0,0,27,15,9,3,0,0,0,0,0,0,0,0,27,0,9,16,0,0,0,25,0,17,10,0,27,0,14,9,2,25,0,17,9,0,26,18,9,0,27,17,10,0,27,270190072
HAMBURG,0075,Hamburg,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,311,52,283,9,0,0,292,195,92,3,0,0,0,0,0,0,0,0,290,6,112,157,3,2,0,280,0,177,109,2,288,0,195,83,1,279,0,183,89,2,274,196,94,2,292,173,115,4,292,270190075
HANCOCK TWP,0080,Hancock Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,227,17,207,7,0,1,215,140,72,2,0,0,0,1,0,0,0,0,215,5,93,108,3,0,0,209,0,135,72,0,207,0,145,59,3,207,0,141,65,0,206,156,56,3,215,115,98,2,215,270190080
HOLLYWOOD TWP,0085,Hollywood Twp,Carver,10,6,47,47A,04,01,4019,,,,Precinct Tabulator,Model 100,,694,70,616,26,0,0,642,453,172,6,0,2,0,2,3,0,0,0,638,15,286,319,2,2,0,624,0,407,218,3,628,0,442,177,0,619,0,405,199,1,605,479,156,7,642,412,224,6,642,270190085
LAKETOWN TWP P-1,0090,Laketown Twp,Carver,10,3,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,1476,226,1164,131,0,0,1295,884,382,14,1,1,0,2,0,0,3,4,1291,26,641,569,8,5,0,1249,0,924,304,1,1229,0,852,359,3,1214,0,807,369,1,1177,814,470,11,1295,784,487,24,1295,270190090
LAKETOWN TWP P-2,0092,Laketown Twp,Carver,10,3,47,47B,03,01,4019,,,,Precinct Tabulator,Model 100,,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,2,0,0,2,2,0,0,2,270190092
MAYER,0095,Mayer,Carver,10,6,47,47A,04,01,4019,,,,Precinct Tabulator,Model 100,,990,182,928,37,0,0,965,651,299,7,1,0,0,3,0,1,0,2,964,18,435,445,13,4,0,915,0,585,355,1,941,0,614,270,1,885,0,570,292,0,862,569,387,9,965,607,347,11,965,270190095
NEW GERMANY,0100,New Germany,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,201,38,186,9,0,0,195,124,61,3,0,0,0,1,0,0,1,1,191,8,78,96,1,2,0,185,0,108,80,0,188,0,128,55,0,183,0,114,63,0,177,115,77,3,195,119,75,1,195,270190100
NORWOOD YOUNG AMERICA,0105,Norwood Young America,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,1839,402,1704,107,0,0,1811,1118,644,13,1,5,1,7,6,0,3,10,1808,48,686,966,27,5,3,1735,0,1001,754,4,1759,0,1107,586,10,1703,0,1021,626,4,1651,1140,662,9,1811,1054,738,19,1811,270190105
SAN FRANCISCO TWP,0110,San Francisco Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,592,68,531,35,2,0,568,331,221,8,0,0,0,0,0,0,0,2,562,8,220,316,3,0,0,547,0,287,267,2,556,0,301,221,5,527,0,287,222,1,510,319,239,10,568,318,244,6,568,270190110
VICTORIA P-1,0115,Victoria,Carver,10,3,47,47B,02,01,4019,,,,Precinct Tabulator,Model 100,,1103,121,910,127,0,0,1037,667,353,7,0,1,0,3,0,0,1,2,1034,20,489,489,7,5,0,1010,0,716,286,0,1002,0,705,272,6,983,0,781,0,18,799,499,532,6,1037,615,415,7,1037,270190115
VICTORIA P-2,0117,Victoria,Carver,10,3,47,47B,03,01,4019,,,,Precinct Tabulator,Model 100,,1868,220,1707,124,0,0,1831,1099,699,14,0,2,2,3,0,0,0,5,1824,25,784,954,9,5,1,1778,0,1187,555,2,1744,0,1149,570,5,1724,0,1350,0,37,1387,894,918,19,1831,1050,763,18,1831,270190117
VICTORIA P-3,0119,Victoria,Carver,10,3,47,47A,03,01,4019,,,,Precinct Tabulator,Model 100,,1733,275,1605,173,0,0,1778,1245,522,6,0,0,0,1,0,0,1,1,1776,25,855,835,8,1,1,1725,0,1297,410,2,1709,0,1238,438,5,1681,0,1144,465,2,1611,910,850,18,1778,1133,629,16,1778,270190119
WACONIA W-1,0120,Waconia,Carver,10,6,47,47A,04,01,4019,,,W-01,Precinct Tabulator,Model 100,,3182,493,2696,301,0,0,2997,1797,1134,22,0,4,1,9,0,1,0,9,2977,46,1169,1630,24,7,1,2877,0,1524,1361,6,2891,0,1823,981,2,2806,0,1638,1072,5,2715,1565,1406,26,2997,1689,1272,36,2997,270190120
WACONIA W-2,0125,Waconia,Carver,10,6,47,47A,04,01,4019,,,W-02,Precinct Tabulator,Model 100,,3134,482,2837,198,3,0,3038,1751,1208,36,0,2,1,9,4,1,0,11,3023,68,1154,1666,27,4,3,2922,0,1548,1391,1,2940,0,1787,1040,7,2834,0,1613,1139,5,2757,1596,1412,30,3038,1713,1296,29,3038,270190125
WACONIA TWP,0130,Waconia Twp,Carver,10,6,47,47A,04,01,4019,,,,Precinct Tabulator,Model 100,,829,86,728,59,1,0,788,518,261,3,0,0,2,1,0,0,0,2,787,12,352,379,7,2,0,752,0,475,292,3,770,0,511,228,8,747,0,473,238,3,714,516,266,6,788,478,300,10,788,270190130
WATERTOWN,0135,Watertown,Carver,10,6,47,47A,04,01,4019,,,,Precinct Tabulator,Model 100,,2342,353,2108,110,1,0,2219,1353,801,33,0,5,0,7,4,0,1,6,2210,57,943,1098,25,7,0,2130,0,1211,923,7,2141,0,1340,706,3,2049,0,1209,797,1,2007,1266,934,19,2219,1275,916,28,2219,270190135
WATERTOWN TWP,0140,Watertown Twp,Carver,10,6,47,47A,04,01,4019,,,,Precinct Tabulator,Model 100,,844,65,737,49,0,0,786,501,269,4,0,1,0,4,1,0,1,2,783,14,343,383,6,4,0,750,0,455,310,0,765,0,518,228,0,746,0,450,275,0,725,514,261,11,786,473,307,6,786,270190140
YOUNG AMERICA TWP,0150,Young America Twp,Carver,10,6,47,47A,05,01,4019,,,,Precinct Tabulator,Model 100,,485,49,409,51,0,0,460,336,117,3,0,1,0,0,0,1,1,1,460,8,212,222,2,2,0,446,0,290,160,1,451,0,325,110,2,437,0,297,120,0,417,343,113,4,460,288,171,1,460,270190150
ANSEL TWP,0005,Ansel Twp,Cass,11,8,9,9A,03,09,8021,,,,Precinct Tabulator,Model 100,YES,56,12,42,4,0,0,46,35,6,1,0,2,0,0,0,0,0,0,44,3,16,24,0,0,0,43,0,30,10,0,40,0,32,10,0,42,0,33,9,0,42,33,8,5,46,25,18,3,46,270210005
BACKUS,0010,Backus,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,YES,133,10,94,4,0,0,98,43,49,0,0,0,0,0,2,0,0,1,95,7,21,62,0,3,0,93,0,36,58,0,94,0,47,49,0,96,0,37,58,0,95,68,30,0,98,47,49,2,98,270210010
BARCLAY TWP,0015,Barclay Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,YES,286,22,225,15,0,0,240,154,76,3,0,0,0,3,1,0,0,0,237,15,108,102,3,3,0,231,0,131,91,1,223,0,152,80,0,232,0,150,75,0,225,161,78,1,240,142,96,2,240,270210015
BECKER TWP,0020,Becker Twp,Cass,11,8,9,9A,02,09,8021,,720,,Precinct Tabulator,Model 100,,270,51,249,17,1,0,267,178,83,1,0,0,0,0,3,0,0,2,267,8,113,135,0,1,0,257,0,152,100,1,253,0,150,106,0,256,0,160,88,0,248,200,65,2,267,168,94,5,267,270210020
BENA,0025,Bena,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,54,5,38,0,0,0,38,4,31,0,0,0,0,0,0,0,0,1,36,2,1,29,1,1,1,35,0,6,28,0,34,0,8,28,0,36,0,4,32,0,36,27,9,2,38,11,26,1,38,270210025
BEULAH TWP,0030,Beulah Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,YES,60,1,48,1,0,0,49,30,17,1,0,1,0,0,0,0,0,0,49,2,20,24,1,0,0,47,0,20,25,1,46,0,28,19,0,47,0,29,17,0,46,34,15,0,49,27,21,1,49,270210030
BIRCH LAKE TWP,0035,Birch Lake Twp,Cass,11,8,5,5A,03,09,8021,,,,Precinct Tabulator,Model 100,YES,464,37,364,58,0,0,422,243,170,3,0,1,0,1,0,0,1,1,420,13,150,238,4,1,0,406,0,221,176,2,399,0,245,156,0,401,0,232,171,0,403,274,146,2,422,222,194,6,422,270210035
BLIND LAKE TWP,0040,Blind Lake Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,,52,2,35,0,0,0,35,17,16,0,0,0,0,0,0,0,1,1,35,0,11,24,0,0,0,35,0,13,20,0,33,0,14,19,0,33,0,15,17,0,32,20,15,0,35,15,18,2,35,270210040
BOY LAKE TWP,0045,Boy Lake Twp,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,,159,17,122,10,0,0,132,57,71,1,0,0,0,0,1,0,1,1,132,4,39,85,1,1,0,130,0,57,71,0,128,0,60,70,0,130,0,59,72,1,132,61,70,1,132,61,71,0,132,270210045
BOY RIVER CITY,0050,Boy River,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,12,1,7,1,0,0,8,4,3,0,0,0,0,1,0,0,0,0,8,0,0,8,0,0,0,8,0,0,7,0,7,0,5,3,0,8,0,3,5,0,8,4,4,0,8,3,5,0,8,270210050
BOY RIVER TWP,0055,Boy River Twp,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,52,6,42,2,0,0,44,27,15,0,0,0,0,0,0,0,0,0,42,1,17,24,0,1,0,43,0,22,20,0,42,0,29,12,0,41,0,27,14,0,41,32,10,2,44,31,12,1,44,270210055
BULL MOOSE TWP,0060,Bull Moose Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,YES,63,6,57,1,0,0,58,38,19,0,0,0,0,0,0,0,0,0,57,0,27,28,0,2,0,57,0,38,18,0,56,0,39,18,0,57,0,45,13,0,58,40,17,1,58,32,25,1,58,270210060
BUNGO TWP,0065,Bungo Twp,Cass,11,8,9,9A,03,09,8021,,,,Precinct Tabulator,Model 100,,106,17,86,4,0,0,90,61,27,0,0,0,0,1,0,0,0,0,89,3,44,35,3,0,1,86,0,52,29,1,82,0,59,27,0,86,0,60,20,0,80,70,18,2,90,56,29,5,90,270210065
BYRON TWP,0070,Byron Twp,Cass,11,8,9,9A,02,09,8021,,720,,Precinct Tabulator,Model 100,YES,79,5,72,1,0,0,73,42,28,0,0,0,0,1,0,0,0,0,71,2,22,43,0,1,0,68,0,36,31,1,68,0,37,31,0,68,0,40,26,0,66,52,19,2,73,41,30,2,73,270210070
CASS LAKE,0075,Cass Lake,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,,354,88,247,17,0,0,264,47,209,1,0,0,0,4,1,1,0,0,263,5,33,206,2,4,0,250,0,48,195,1,244,0,57,199,0,256,0,37,218,0,255,105,153,6,264,78,182,4,264,270210075
CHICKAMAW BEACH,0080,Chickamaw Beach,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,YES,75,5,73,3,0,0,76,43,31,0,0,1,0,0,0,0,0,1,76,1,26,43,4,0,0,74,0,36,36,0,72,0,41,32,0,73,0,35,35,0,70,42,34,0,76,45,31,0,76,270210080
CROOKED LAKE TWP,0085,Crooked Lake Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,,424,31,333,51,0,0,384,180,196,3,0,0,0,1,0,0,0,2,382,11,115,243,3,1,0,373,0,157,204,2,363,0,187,182,1,370,0,171,195,0,366,225,157,2,384,174,207,3,384,270210085
DEERFIELD TWP,0090,Deerfield Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,,84,13,59,15,0,0,74,45,27,0,0,0,0,0,1,0,0,1,74,3,31,37,1,0,0,72,0,42,30,0,72,0,46,25,1,72,0,40,29,1,70,50,24,0,74,42,32,0,74,270210090
EAST GULL LAKE,0095,East Gull Lake,Cass,11,8,9,9A,01,09,8021,,,,Precinct Tabulator,Model 100,,721,96,563,135,3,0,701,450,240,5,0,0,0,2,0,0,0,3,700,14,315,339,6,4,0,678,0,405,269,2,676,0,444,231,1,676,0,422,229,1,652,410,280,11,701,431,257,13,701,270210095
FAIRVIEW TWP,0100,Fairview Twp,Cass,11,8,9,9A,01,09,8021,,,,Precinct Tabulator,Model 100,,561,70,452,78,0,0,530,360,161,3,0,0,0,1,1,0,0,4,530,18,246,246,6,0,0,516,0,326,182,0,508,0,358,159,0,517,0,345,161,0,506,334,194,2,530,346,181,3,530,270210100
FEDERAL DAM,0105,Federal Dam,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,50,11,46,1,0,0,47,16,29,0,0,0,0,0,1,0,0,1,47,2,12,31,0,0,0,45,0,17,26,1,44,0,18,29,0,47,0,16,30,0,46,18,27,2,47,21,25,1,47,270210105
GOULD TWP,0110,Gould Twp,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,118,7,88,1,0,0,89,33,54,0,0,1,0,0,1,0,0,0,89,2,23,62,1,0,0,88,0,26,60,0,86,0,31,56,0,87,0,34,55,0,89,56,33,0,89,38,51,0,89,270210110
HACKENSACK,0115,Hackensack,Cass,11,8,5,5A,03,09,8021,,,,Precinct Tabulator,Model 100,,218,32,164,14,0,0,178,83,92,0,0,0,0,0,0,0,0,1,176,7,46,108,2,1,0,164,0,66,96,0,162,0,84,86,0,170,0,86,87,0,173,91,82,5,178,89,85,4,178,270210115
HARDWOOD SOUTH,0118,North Central Cass Unorganized,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,YES,24,1,23,1,0,0,24,18,6,0,0,0,0,0,0,0,0,0,24,2,9,13,0,0,0,24,0,18,6,0,24,0,17,6,0,23,0,16,7,0,23,15,9,0,24,20,4,0,24,270210118
HIRAM TWP,0120,Hiram Twp,Cass,11,8,5,5B,03,09,8021,,,,Precinct Tabulator,Model 100,,277,22,192,61,0,0,253,136,111,2,0,1,0,0,0,1,0,2,253,6,99,141,1,1,1,249,0,126,109,2,237,0,132,110,1,243,0,129,112,3,244,140,108,5,253,131,118,4,253,270210120
HOMEBROOK TWP,0125,HomeBrook Twp,Cass,11,8,9,9A,02,09,8021,,,,Precinct Tabulator,Model 100,,152,20,143,6,0,0,149,102,41,3,0,0,0,2,1,0,0,0,149,5,65,74,1,2,0,147,0,88,58,0,146,0,84,59,0,143,0,91,49,1,141,103,44,2,149,95,53,1,149,270210125
INGUADONA TWP,0130,Inguadona Twp,Cass,11,8,5,5A,04,09,8021,,,,Precinct Tabulator,Model 100,YES,135,6,112,4,0,0,116,63,50,1,0,0,0,2,0,0,0,0,116,3,34,74,1,0,0,112,0,52,52,1,105,0,61,51,0,112,0,59,52,0,111,83,33,0,116,68,47,1,116,270210130
KEGO TWP,0135,Kego Twp,Cass,11,8,5,5A,04,09,8021,,,,Precinct Tabulator,Model 100,,371,27,282,43,0,0,325,177,146,1,0,0,0,1,0,0,0,0,325,10,114,189,5,1,0,319,0,163,147,1,311,0,177,139,0,316,0,165,145,1,311,193,132,0,325,168,156,1,325,270210135
LAKE SHORE,0140,Lake Shore,Cass,11,8,9,9A,01,09,8021,,,,Precinct Tabulator,Model 100,,771,108,584,163,1,0,748,501,234,6,0,0,0,1,0,0,0,3,745,13,349,363,4,3,1,733,0,462,256,3,721,0,492,236,2,730,0,484,224,2,710,459,278,11,748,458,280,10,748,270210140
LEECH LAKE TWP,0145,Leech Lake Twp,Cass,11,8,5,5A,05,09,8021,,,,Precinct Tabulator,Model 100,,329,41,251,51,0,0,302,168,123,5,0,0,0,1,0,0,1,1,299,8,119,164,2,0,0,293,0,162,126,0,288,0,180,115,0,295,0,172,122,0,294,179,118,5,302,171,128,3,302,270210145
LIMA TWP,0150,Lima Twp,Cass,11,8,5,5B,04,09,8021,,,,Precinct Tabulator,Model 100,YES,56,0,48,0,0,0,48,30,17,0,0,0,0,0,0,0,0,0,47,0,25,22,0,0,0,47,0,26,21,0,47,0,29,19,0,48,0,29,18,0,47,35,13,0,48,28,20,0,48,270210150
LONGVILLE,0155,Longville,Cass,11,8,5,5A,04,09,8021,,,,Precinct Tabulator,Model 100,YES,115,10,100,9,0,0,109,71,35,0,0,0,0,1,0,0,0,1,108,4,50,49,0,0,0,103,0,68,33,1,102,0,72,29,0,101,0,68,35,0,103,76,32,1,109,63,45,1,109,270210155
